C00003418|75006|2017|2500|250|1
C00003418|78620|2017|2500|200|2
C00003418|92120|2017|2500|900|3
C00003418|29104|2017|2500|540|4
C00003418|11954|2017|2500|2500|5
C00003418|85268|2017|2500|200|6
C00461061|95628|2017|2501|599|1
C00461061|95693|2017|2501|2501|2
C00461061|95818|2017|2501|1250|3
C00465492|01742|2017|1453|1000|1
C00465492|19530|2017|1453|2100|2
C00465492|70118|2017|1453|622|3
C00465492|19301|2017|1453|492|4
C00465492|02176|2017|1453|259|5
C00465492|15202|2017|1453|1453|6
C00465492|19348|2017|1453|1020|7
C00465492|17036|2017|1453|300|8
C00465492|08043|2017|1453|201|9
C00465492|19073|2017|1453|251|10
